Size,Resolution,Refresh rate,Processor,RAM,Disc,Graphics card,Price in zl
"15.6""", 1920 x 1080px, 120Hz,Intel Core i7-11370H,8,512 GB SSD,NVIDIA GeForce GTX 1650,3599
"16.1""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce GTX 1650,3799
"15.6""", 1920 x 1080px, 240Hz,AMD Ryzen 9 5900HX,16,1000 GB SSD,AMD Radeon RX 6700M,7499
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 7 6800H,16,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,6199
"16.1""", 1920 x 1080px, 144Hz,Intel Core i7-11800H,8,512 GB SSD,NVIDIA GeForce RTX 3060,5999
"16.1""", 1920 x 1080px, 144Hz,Intel Core i5-11400,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5199
"16.1""", 1920 x 1080px, 144Hz,Intel Core i5-11400H,8,512 GB SSD,NVIDIA GeForce GTX 1650,4299
"15.6""", 1920 x 1080px, 60Hz,Intel Core i5-11300H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4399
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 5 5600H,32,1000 GB SSD,NVIDIA GeForce RTX 3070,7599
"13.3""", 1920 x 1080px, 60Hz,Qualcomm Snapdragon SC7180,8,64 GB Flash,Adreno 618,2249
"17.3""", 1920 x 1080px, 144Hz,Intel Core i7-12700H,16,512 GB SSD,NVIDIA GeForce RTX 3070 Ti,9349
"17.3""", 1920 x 1080px, 144Hz,Intel Core i5-12500H,16,1000 GB SSD,NVIDIA GeForce RTX 3050,6499
"14""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5625U,16,512 GB SSD,AMD Radeon Graphics,4499
"15.6""", 1920 x 1080px, 144Hz,Intel Core i5-10300H,16,1000 GB SSD,NVIDIA GeForce RTX 3050,4599
"14""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,16,512 GB SSD,Intel Iris Xe Graphics,5499
"16.1""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,16,1000 GB SSD,AMD Radeon RX 6600M,6399
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,5299
"15.6""", 1920 x 1080px, 144Hz,AMD Ryzen 7 5800H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4999
"16.1""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050,4399
"15.6""", 1920 x 1080px, 60Hz,AMD Ryzen 5 5600H,8,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,3899
"14""", 1920 x 1080px, 60Hz,Intel Core i5-1155G7,8,512 GB SSD,Intel Iris Xe Graphics,4109
"13.3""", 2560 x 1440px, 60Hz,Intel Core i5-11320H,16,512 GB SSD,Intel Iris Xe Graphics,4499
"15.6""", 1920 x 1080px, 60Hz,Intel Core i3-1115G4,8,256 GB SSD,Intel UHD Graphics,2799
"14""", 1920 x 1080px, 60Hz,Intel Core i7-1065G7,8,512 GB SSD,Intel Iris Plus Graphics,2899
"17.3""", 1920 x 1080px, 60Hz,Intel Core i5-1135G7,8,512 GB SSD,Intel Iris Xe Graphics,3199
"16""", 2560 x 1600px, 60Hz,Intel Core i7-11800H,16,512 GB SSD,NVIDIA GeForce RTX 3050,6399
